f91b806e-806f-4717-be82-555a56f7135e | ndfl2_year | Справка о доходах компании в разрезе года
f91b806e-806f-4717-be82-555a56f7135e | clients1 | Список клиентов в разрезе регионов
40e8b16d-adf5-4f46-9d74-17fe92b9df28 | employees_count | Число работников компании в разрезе регионов РФ
9d8e4097-05ac-4a2a-9ecb-101cf5a5df6c | tax_report | Отчет о налоговой базе компании по регионам
bca81028-1a5e-4c24-94e7-99a5a9ebd0a7 | revenue_analysis | Анализ доходов компании по регионам
ff75fa26-b9a3-423d-87e5-7c710672e12e | expense_report | Отчет по расходам компании
d78329b4-f8b0-40f3-b150-75e447cd5f7e | profit_margin | Анализ рентабельности компании
f6091073-bf6a-4387-907f-1190328f5371 | employee_turnover | Оборот работников компании
1be4cdeb-94b4-469b-9b33-bab8d28945d0 | tax_deductions | Список налоговых вычетов по регионам
3cba6e2a-b576-4e8b-9e69-57d2e1568707 | revenue_growth | Темпы роста выручки компании
a21f8366-f1c4-4f01-8a60-e4e730eb9f4e | client_retention | Анализ удержания клиентов
9e00b3cf-d8b1-4a5b-8e68-b2d78c2a7c7f | regional_performance | Региональная динамика показателей
58287b73-15c0-4848-98ea-f9ccae6b5c78 | financial_health | Финансовое состояние компании
4d2eab3a-5b89-47db-9007-e436466bc177 | cost_analysis | Анализ себестоимости производства
7a47610d-fbde-49ba-8f3d-b36b30c9cf3c | employee_salary | Зарплаты работников по регионам
a2d8d09f-0e5a-45f9-aeb1-d99b878508f7 | client_demographics | Демографический анализ клиентов
b2f1b8da-8fbb-4752-94d1-cde729b45f28 | market_share | Доля компании на рынке по регионам
41be8fe5-609e-487a-820a-c6cf5fd6173b | expense_allocation | Распределение расходов по проектам
cdde8101-7c3f-4387-bd32-2069e5c7cd17 | debt_report | Отчет по задолженности клиентов
67914e0b-8e4b-4c6e-96b9-b54a519f4a2b | sales_performance | Анализ продаж по регионам
9922da1d-8087-4b07-a5f6-00364b42ccf1 | marketing_expenditure | Маркетинговые расходы компании
9b270c6c-3d85-4330-9b7e-e7f6d07d941b | inventory_status | Статус запасов компании по регионам
af5db836-0b51-42b2-8332-9e2f9970b907 | tax_compliance | Соблюдение налогового законодательства
e7a48a75-5f99-457d-bec4-9442f420292d | financial_forecast | Прогноз финансовых результатов
47f79d0d-9d95-4b8f-99f0-9418f5b3cf78 | cash_flow | Потоки денежных средств компании
c82010cd-983e-477b-92f4-91a9f3c3f208 | audit_report | Аудиторский отчет компании
2499d3cc-7047-46c5-875e-16c15b5e9a50 | market_analysis | Рыночный анализ компании по регионам
64b550be-cbe9-404e-bebd-1811d911c540 | growth_projection | Прогноз роста компании
1d604fc2-00d3-4f60-8f7e-5d58f4fae8be | supply_chain | Анализ цепочки поставок компании
1d604fc2-00d3-4f60-8f7e-5d58f4fae8be | supply_chain | кукареку кричат сотрудники компании
